Obra;Cód. Estruturado;Cód. Item;Descrição Item;Unid.;Categoria;Nº NF;Data NF; ValorUnitRealizado ; Qtd Realizada ; ValorTotalRealizado ;Cód. Fornecedor;Fornecedor;Tipo;Cód. Pedido;Cód. Contrato
OBR;01120103007OBR;4851;Cabo flexivel PVC 750V azul 4,0 mm²;M;Elétrica - Fios e Cabos;3509OBR.N;11/03/2025; 1,28 ; 269,30 ; 345,65 ;Código 42;Fornecedor 42;Geral;364OBR.P;-
OBR;01120103007OBR;4851;Cabo flexivel PVC 750V azul 4,0 mm²;M;Elétrica - Fios e Cabos;3509OBR.N;11/03/2025; 2,07 ; 124,61 ; 257,62 ;Código 42;Fornecedor 42;Geral;364OBR.P;-
OBR;01120103007OBR;4851;Cabo flexivel PVC 750V azul 4,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 2,46 ; 346,15 ; 850,75 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120103008OBR;4904;Cabo flexivel PVC 750V verde 4,0 mm²;M;Elétrica - Fios e Cabos;3509OBR.N;11/03/2025; 4,89 ; 57,32 ; 280,45 ;Código 42;Fornecedor 42;Geral;364OBR.P;-
OBR;01120103008OBR;4904;Cabo flexivel PVC 750V verde 4,0 mm²;M;Elétrica - Fios e Cabos;3509OBR.N;11/03/2025; 2,07 ; 95,03 ; 196,46 ;Código 42;Fornecedor 42;Geral;364OBR.P;-
OBR;01120103008OBR;4904;Cabo flexivel PVC 750V verde 4,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 2,46 ; 286,58 ; 704,35 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120103009OBR;4838;Cabo flexivel PVC 750V amarelo 2,5 mm²;M;Elétrica - Fios e Cabos;2876OBR.N;21/11/2024; 2,11 ; 342,53 ; 722,58 ;Código 42;Fornecedor 42;Geral;250OBR.P;-
OBR;01120103010OBR;4924;Cabo flexivel PVC 750V vermelho 4,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 1,57 ; 12,94 ; 20,32 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120103011OBR;4868;Cabo flexivel PVC 750V branco 4,0 mm²;M;Elétrica - Fios e Cabos;3509OBR.N;11/03/2025; 2,07 ; 43,27 ; 89,46 ;Código 42;Fornecedor 42;Geral;364OBR.P;-
OBR;01120103012OBR;4878;Cabo flexivel PVC 750V preto 1,5 mm²;M;Elétrica - Fios e Cabos;2876OBR.N;21/11/2024; 1,31 ; 260,59 ; 341,31 ;Código 42;Fornecedor 42;Geral;250OBR.P;-
OBR;01120103012OBR;4878;Cabo flexivel PVC 750V preto 1,5 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 0,98 ; 127,10 ; 124,27 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120103013OBR;4842;Cabo flexivel PVC 750V azul 1,5 mm²;M;Elétrica - Fios e Cabos;2876OBR.N;21/11/2024; 1,31 ; 1.001,37 ; 1.311,54 ;Código 42;Fornecedor 42;Geral;250OBR.P;-
