Obra;Grupo Orçamentário;Cód. Estruturado;Cód. Item;Descrição Item;Unid.;Categoria; Qtde. Insumo ; Custo Insumo ; Total Orçado ;Tipo
OBR;Kit loucas e metais banheiro PNE - materiais;01210100401OBR;3698;Lavatorio suspenso conforme NBR 9050 Branco 30 x 33 x 41 cm;UN;Louças, Metais e Acessórios; 1,00 ; 376,07 ; 376,07 ;Geral
OBR;Kit loucas e metais banheiro PNE - barras de apoio;01210100402OBR;3795;Barra de apoio Para banheiro em aco inox 90 cm;UN;Louças, Metais e Acessórios; 1,00 ; 113,44 ; 113,44 ;Geral
OBR;Kit loucas e metais banheiro PNE - barras de apoio;01210100402OBR;3796;Barra de apoio Para banheiro em aco inox 80 cm;UN;Louças, Metais e Acessórios; 1,00 ; 113,60 ; 113,60 ;Geral
OBR;Kit loucas e metais banheiro PNE - barras de apoio;01210100402OBR;3797;Barra de apoio Para banheiro em aco inox 70 cm;UN;Louças, Metais e Acessórios; 1,00 ; 114,80 ; 114,80 ;Geral
OBR;Kit loucas e metais banheiro PNE - barras de apoio;01210100402OBR;3804;Barra de apoio Para banheiro em aco inox Lateral 30 cm;UN;Louças, Metais e Acessórios; 2,00 ; 92,00 ; 184,00 ;Geral
OBR;Kit loucas e metais banheiro PNE - torneiras;01210100403OBR;3752;Torneira de alavanca metal cromado com bica movel PNE;UN;Louças, Metais e Acessórios; 1,00 ; 229,67 ; 229,67 ;Geral
OBR;Acabamento para registro - Padrao I;01210100501OBR;3756;"Acabamento para registro C40 1/2"", 3/4"", 1""";UN;Louças, Metais e Acessórios; 300,00 ; 14,15 ; 4.243,50 ;Geral
OBR;Abrigo metalico medidores de gas - Chapa Lisa 1.25 mm - cor: preta - Pintura eletrostatica epoxi (instalada);01220500110OBR;7078;Abrigo - medidores de gas - chapa 1,25 mm - preto;M2;Serralheria; 8,00 ; 828,87 ; 6.630,99 ;Geral
OBR;Mao de obra para execucao de massa corrida interna - em gesso/drywall;01240100101OBR;1319;Lixamento;M2;Mão de obra de Pintura e Outros Acabamentos; 702,91 ; 4,47 ; 3.144,47 ;Geral
OBR;Mao de obra para execucao de massa corrida interna - em gesso/drywall;01240100101OBR;1301;Emassamento 1ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 702,91 ; 4,47 ; 3.144,47 ;Geral
OBR;Mao de obra para pintura - 1ª demao;01240100102OBR;1459;Pintura 1ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 702,91 ; 4,47 ; 3.144,47 ;Geral
OBR;Mao de obra para pintura - 2ª demao;01240100103OBR;1461;Pintura 2ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 702,91 ; 4,47 ; 3.144,47 ;Geral
